tlp,group,reporttime,observable,cc,asn,confidence,tags,description,rdata,provider,altid_tlp,altid
green,everyone,2016-08-19T00:54:50Z,www.albertocuellar.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,hiroba.dqx.jp.ywtuvax.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,landco-music.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www28.02as.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.emorybox.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,beta.suncrestfitness.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www26.ktoooo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,dl.pocomissus.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,technibaie.net,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,bbqdzx.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www40.02as.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www35.lalamomo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.bbqdzx.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,cnzhiyuan.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www49.ggaibb.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.vidyabalbhawan.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.timorous-beastie.co.uk,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www45.6666mn.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,dl.get1993desk.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www43.17sise.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www24.177momo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.techglbl.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www5.wwttmm.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.ersanelektrik.biz,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.salonbeyzade.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.madagascar-gambas.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www12.688ooo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,krajewskiautotronic.pl,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www14.rtyszz.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www4.ddbbdy.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify4.server-w0a.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www43.ggaibb.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.dinkesperizinan-kotasibolga.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,puu.sh,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,ce-jeffdebruges.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,dl.repairlabshost.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.sadaalhajjaj.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,shooky-14-06-2015.s3-website-us-east-1.amazonaws.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www47.02as.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www7.bolo100.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,down10b.zol.com.cn,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www18.71youzi.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www33.bjmn100.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,dl.getdesk1994.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.mimile8.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www23.qqmeise.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www.haroldaalbers.nl,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,usaa.com.inet.ent.logon.sec.auth.ent.darlanesudameventos.com.br,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
green,everyone,2016-08-19T00:54:50Z,www50.feieo.com,,,65,malware,,,malwareurls.joxeankoret.com,white,http://malwareurls.joxeankoret.com/domains.txt
